,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_cl,param_epochs,param_k,param_n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
13,81.03120770454407,1.169051218032837,0.017883759176480437,0.017876117053293734,3,50,2,32,"{'cl': 3, 'epochs': 50, 'k': 2, 'n': 32}",11,0.017986164541445047,0.017759388103802627,0.018007752581316733,0.017771426779783776,0.017787836091679946,0.017812389288550227,0.017955746049078826,0.01791266630464625,0.017681296618881626,0.018124714789685803,0.09665423110021787,0.016468181108239548,0.00012746423692159572,0.0001354869819058503
0,48.34068169593811,0.3154469013214111,0.017227084109577063,0.01719676337126538,2,50,1.5,16,"{'cl': 2, 'epochs': 50, 'k': 1.5, 'n': 16}",12,0.017079183065863413,0.017228851582263116,0.01791416933742639,0.017019503401749046,0.017207792281199282,0.01719918595539911,0.01728689277144236,0.017191113825782995,0.01664738309195387,0.017345162091132637,0.06380113662607086,0.010183793509678268,0.00040840258313825316,0.00010441332904782816
17,162.55160217285157,1.5458388805389405,0.016141901734485247,0.01613491581073988,3,50,2.5,48,"{'cl': 3, 'epochs': 50, 'k': 2.5, 'n': 48}",13,0.016403867401809335,0.016024076875960715,0.016322966691141375,0.01601140291612839,0.016093805728253918,0.016088081976381417,0.016171400583236017,0.016173029126964996,0.015717468267985594,0.01637798815826389,0.17579544373108896,0.026402558024396536,0.0002386368390518853,0.00013436584658574094
10,69.2671781539917,0.9421394348144532,0.01588544593688762,0.015876891147171227,3,50,1.5,32,"{'cl': 3, 'epochs': 50, 'k': 1.5, 'n': 32}",14,0.016105206195856925,0.015772540348573266,0.01604306757902709,0.015776065378406336,0.015871853471916414,0.015826173683750295,0.01589435600092478,0.01592511363397135,0.015512746436712898,0.01608456269115488,0.1005150544793992,0.027541728153388727,0.00020606223102190616,0.00011754153676437903
11,108.44483284950256,1.0775145530700683,0.015879907358054803,0.01587274984291224,3,50,1.5,48,"{'cl': 3, 'epochs': 50, 'k': 1.5, 'n': 48}",15,0.016137159420786615,0.015775738283991814,0.016004867547095937,0.015748935499202425,0.01581915183358382,0.01583806056285573,0.015902485106592982,0.01591300196667141,0.015535872882214662,0.01608801290183981,0.1939097093244012,0.021539248481153885,0.00020216546771116307,0.0001215754896591255
12,53.176432037353514,1.0436859130859375,0.015603305926877205,0.01559394551005876,3,50,2,16,"{'cl': 3, 'epochs': 50, 'k': 2, 'n': 16}",16,0.015783816523780334,0.015508336075973288,0.01580883821942539,0.015465197736554057,0.015568081019707372,0.01556790240596388,0.015710690067471746,0.015608558587938826,0.015145103804001185,0.015819732743863748,0.09890638105046902,0.019032220827482293,0.00024394627770018523,0.00012310696540178946
14,126.44990029335023,1.2921722412109375,0.015339025296270847,0.015332143194973469,3,50,2,48,"{'cl': 3, 'epochs': 50, 'k': 2, 'n': 48}",17,0.015525593692175696,0.015248508706131828,0.01564496617207182,0.015198748402088602,0.015273764833947209,0.015288973792899991,0.015395725877067752,0.015368894682587864,0.014855075906091761,0.015555590391159058,0.07750595381290291,0.015456367134177213,0.0002720619348223798,0.0001248453580178717
16,103.30497860908508,1.390474557876587,0.015260403773912759,0.015253443887161319,3,50,2.5,32,"{'cl': 3, 'epochs': 50, 'k': 2.5, 'n': 32}",18,0.01543545893558832,0.015166385638936658,0.015466591325875755,0.015127069882561113,0.015218210606792263,0.015213930161199837,0.015326798240715098,0.015276050090650532,0.014854959760592363,0.015483783662458447,0.06609587598264831,0.01846845205012289,0.000220785394772718,0.00012544187074667353
6,61.263435459136964,0.6666165828704834,0.015096078417916721,0.015070645652154342,2,50,2.5,16,"{'cl': 2, 'epochs': 50, 'k': 2.5, 'n': 16}",19,0.015026588793669906,0.01508915509645627,0.015661534653088758,0.014922762690024955,0.015127547755489282,0.015059547681605147,0.015108859775779403,0.015070929305157929,0.014555861111556259,0.015210833487527393,0.0655955960821844,0.0077744587350824,0.000351442166559541,9.163825032424723e-05
3,53.09032969474792,0.4964304447174072,0.014808219378796693,0.014783271325525834,2,50,2,16,"{'cl': 2, 'epochs': 50, 'k': 2, 'n': 16}",20,0.014633578779262918,0.014831380553056146,0.015392147230907021,0.014637592701223966,0.015010249740052446,0.0147360887587349,0.014808265039714698,0.014783859923133783,0.014196856104046385,0.014927434691480387,0.10769312873333314,0.017788796886826594,0.0003964977674951443,9.64845858067698e-05
1,72.83251214027405,0.396622896194458,0.013655226923107543,0.013631257219849346,2,50,1.5,32,"{'cl': 2, 'epochs': 50, 'k': 1.5, 'n': 32}",21,0.013718369634491261,0.01362555592416603,0.01431958694185052,0.013469358035754934,0.0136540119196767,0.013626276384865013,0.013575468464780634,0.013649629150456357,0.013008697654738605,0.013785466604004397,0.0593929951628691,0.01467240350861042,0.0004170669536826797,0.0001003859764068216
2,114.19825630187988,0.5130537509918213,0.012562591135153704,0.012545185623185656,2,50,1.5,48,"{'cl': 2, 'epochs': 50, 'k': 1.5, 'n': 48}",22,0.012333278065529939,0.012609709994258167,0.013165752882155303,0.012395133020652233,0.012493394558953347,0.012554307825097415,0.01264037580063967,0.012524799339333984,0.01218015436849026,0.012641977936586488,0.027305908008318745,0.01793027715814057,0.00033866947833688827,8.549473090178285e-05
5,126.75736961364746,0.6846915245056152,0.012551937417658133,0.01253141978076685,2,50,2,48,"{'cl': 2, 'epochs': 50, 'k': 2, 'n': 48}",23,0.012475577348442835,0.012559401532896211,0.01316062798810618,0.01238440741375785,0.01253543421626091,0.012531236371147298,0.012578116634112095,0.012524153610743652,0.012009930901368645,0.01265789997528925,0.12662543815433497,0.020325576751357332,0.0003663506084214141,8.768772431547875e-05
8,143.93180375099183,0.8669966220855713,0.01252218412287603,0.012501552593067428,2,50,2.5,48,"{'cl': 2, 'epochs': 50, 'k': 2.5, 'n': 48}",24,0.01245440239800471,0.012525468525067668,0.013093192112919327,0.01235966225998981,0.012495938653700819,0.01250325449716265,0.012640827117818538,0.012474035043443474,0.011926560331936752,0.012645342639673537,0.15256951097229773,0.02948378561130238,0.0003742130869314565,9.180471441288905e-05
15,65.0973596572876,1.2643171787261962,0.012473890766779953,0.012463301684811851,3,50,2.5,16,"{'cl': 3, 'epochs': 50, 'k': 2.5, 'n': 16}",25,0.012565944570107995,0.01246099687555683,0.012960632688531253,0.012319922760546765,0.012501229836701233,0.012445668367860473,0.012545746751129627,0.012450117922483761,0.01179589998742966,0.012639802497611425,0.1616372599708813,0.03312947971997992,0.00037708720615060545,0.00010217642628694424
4,82.84387135505676,0.5773392200469971,0.012447184451342186,0.012428431145011264,2,50,2,32,"{'cl': 2, 'epochs': 50, 'k': 2, 'n': 32}",26,0.012502045692684495,0.012431253931511229,0.01304403964917515,0.01228247546355858,0.012492408758360092,0.012411952393007613,0.012438205262280512,0.01242919778886521,0.011759222894210681,0.012587276148113691,0.09225282173119578,0.01635202498606596,0.00040857382462759545,9.676249386301341e-05
7,97.23455238342285,0.784861421585083,0.012227275662959737,0.012209924665566918,2,50,2.5,32,"{'cl': 2, 'epochs': 50, 'k': 2.5, 'n': 32}",27,0.01221978841958759,0.01222219923946345,0.012715871576393875,0.012087748081327598,0.012298651831659757,0.012189870708944084,0.012246533392745758,0.012205485881210487,0.011655533094411698,0.012344319416888964,0.11318006382315228,0.013129937374160378,0.0003379754451857614,8.19287447315495e-05
